index,path,count,start_path,end_path,start_path_lat,start_path_lng,end_path_lat,end_path_lng
0,"128.6676274,35.9209485/128.6676241,35.9210991",7,"128.6676274,35.9209485","128.6676241,35.9210991",35.9209485,128.6676274,35.9210991,128.6676241
1,"128.2163432,36.1588489/128.2192677,36.1590406",7,"128.2163432,36.1588489","128.2192677,36.1590406",36.1588489,128.2163432,36.1590406,128.2192677
2,"127.4321336,36.3589909/127.432157,36.3589891",7,"127.4321336,36.3589909","127.432157,36.3589891",36.3589909,127.4321336,36.3589891,127.432157
3,"129.2542381,36.0499497/129.2547122,36.0498075",7,"129.2542381,36.0499497","129.2547122,36.0498075",36.0499497,129.2542381,36.0498075,129.2547122
4,"128.4354989,35.974783/128.4365285,35.9742403",7,"128.4354989,35.974783","128.4365285,35.9742403",35.974783,128.4354989,35.9742403,128.4365285
5,"127.4324312,36.3589414/127.4324992,36.3589171",7,"127.4324312,36.3589414","127.4324992,36.3589171",36.3589414,127.4324312,36.3589171,127.4324992
6,"129.4583999,35.977766/129.4585368,35.9781911",7,"129.4583999,35.977766","129.4585368,35.9781911",35.977766,129.4583999,35.9781911,129.4585368
7,"127.4890964,36.346114/127.4894118,36.3462583",7,"127.4890964,36.346114","127.4894118,36.3462583",36.346114,127.4890964,36.3462583,127.4894118
8,"127.4690095,36.3474033/127.4696359,36.3471113",7,"127.4690095,36.3474033","127.4696359,36.3471113",36.3474033,127.4690095,36.3471113,127.4696359
9,"127.7499993,36.2696913/127.750836,36.2695102",7,"127.7499993,36.2696913","127.750836,36.2695102",36.2696913,127.7499993,36.2695102,127.750836
10,"128.4319727,35.9774917/128.432421,35.9770392",7,"128.4319727,35.9774917","128.432421,35.9770392",35.9774917,128.4319727,35.9770392,128.432421
11,"128.4845249,35.9211617/128.485299,35.919675",7,"128.4845249,35.9211617","128.485299,35.919675",35.9211617,128.4845249,35.919675,128.485299
12,"127.7548955,36.2682178/127.7554761,36.2680642",7,"127.7548955,36.2682178","127.7554761,36.2680642",36.2682178,127.7548955,36.2680642,127.7554761
13,"128.7831234,35.9531209/128.7866678,35.9532966",7,"128.7831234,35.9531209","128.7866678,35.9532966",35.9531209,128.7831234,35.9532966,128.7866678
